valence_true,arousal_true,valence_pred,arousal_pred,quadrant_true,quadrant_pred
0.6666666865348816,1.0,0.8199194073677063,0.03975120186805725,happy,happy
1.0,-0.3333333432674408,0.9101234674453735,0.34953516721725464,calm,happy
-1.0,-0.3333333432674408,-0.9922272562980652,0.7154749631881714,sad,angry
-1.0,1.0,-0.3950797915458679,-0.8151199817657471,angry,sad
0.6666666865348816,-0.3333333432674408,0.9926211833953857,0.606971025466919,calm,happy
0.6666666865348816,0.0,0.9941601157188416,0.45368093252182007,happy,happy
0.0,0.0,0.9545223116874695,-0.9887776970863342,happy,calm
-1.0,0.3333333432674408,-0.48168689012527466,0.3863879144191742,angry,angry
0.6666666865348816,0.3333333432674408,-0.8989224433898926,-0.12825021147727966,happy,sad
1.0,-0.3333333432674408,0.997609555721283,-0.7379854917526245,calm,calm
-1.0,0.6666666865348816,-0.9323258399963379,0.938244104385376,angry,angry
0.0,1.0,-0.9947206377983093,-0.902718186378479,happy,sad
0.6666666865348816,0.6666666865348816,0.9917430281639099,0.11867835372686386,happy,happy
1.0,0.6666666865348816,0.9998520016670227,0.6372121572494507,happy,happy
-1.0,0.6666666865348816,-0.6737053990364075,-0.8147674202919006,angry,sad
1.0,-0.3333333432674408,0.9914417266845703,0.11680974066257477,calm,happy
1.0,1.0,-0.4270517826080322,-0.8401253819465637,happy,sad
-1.0,-0.3333333432674408,-0.9249484539031982,0.3812921345233917,sad,angry
0.6666666865348816,-0.3333333432674408,0.9837976694107056,0.7151960730552673,calm,happy
1.0,0.0,0.94253009557724,-0.9834488034248352,happy,calm
0.0,0.0,0.8471490740776062,0.7614576816558838,happy,happy
1.0,0.3333333432674408,0.6287696957588196,-0.7557670474052429,happy,calm
0.6666666865348816,0.0,0.9815359115600586,0.15455573797225952,happy,happy
1.0,-0.3333333432674408,0.986786961555481,-0.8323067426681519,calm,calm
1.0,1.0,0.9979791641235352,0.9846359491348267,happy,happy
-1.0,0.3333333432674408,-0.9913069605827332,-0.8308118581771851,angry,sad
-1.0,1.0,0.9934497475624084,-0.926615297794342,angry,calm
-1.0,-0.3333333432674408,-0.9460447430610657,-0.8210242986679077,sad,sad
1.0,-0.3333333432674408,-0.9892787933349609,-0.1596248745918274,calm,sad
0.6666666865348816,0.0,0.4089675843715668,0.7585088014602661,happy,happy
-1.0,0.0,0.9964894652366638,-0.9492710828781128,angry,calm
