valence_ref,arousal_ref,genre,cluster,cluster_conf
-0.475,-0.5,blues/soul,1,0.9375515623280285
-0.375,-0.42500000000000004,blues/soul,1,0.8559822929196009
0.17500000000000004,0.125,blues/soul,2,0.8594624953057179
-0.1499999999999999,0.07499999999999996,blues/soul,3,0.6500012090911367
0.19999999999999996,0.3500000000000001,blues/soul,2,0.55505446387198
-0.44999999999999996,-0.050000000000000044,blues/soul,3,0.7266026947207564
-0.25,-0.07499999999999996,blues/soul,3,0.7017525379401589
0.125,0.19999999999999996,blues/soul,2,0.8709910245878547
-0.44999999999999996,-0.25,blues/soul,1,0.6277812460550242
-0.1499999999999999,0.25,blues/soul,3,0.5915833672890078
-0.050000000000000044,-0.275,blues/soul,4,0.48682237682611124
0.2250000000000001,-0.17500000000000004,blues/soul,4,0.6139140618364137
0.10000000000000009,0.375,blues/soul,2,0.7694569167872407
0.3999999999999999,0.32499999999999996,blues/soul,0,0.8971597054020221
-0.25,-0.050000000000000044,blues/soul,3,0.7407147550816944
0.07499999999999996,-0.275,blues/soul,4,0.6765330323656382
0.7250000000000001,-0.07499999999999996,blues/soul,4,0.827221350872228
-0.07499999999999996,-0.30000000000000004,blues/soul,4,0.43820855475113313
-0.19999999999999996,-0.42500000000000004,blues/soul,1,0.7284263655224716
-0.050000000000000044,0.375,blues/soul,2,0.7174197257517095
0.3999999999999999,0.07499999999999996,blues/soul,0,0.5316245491466047
0.575,0.10000000000000009,blues/soul,0,0.8852713740607235
-0.10000000000000009,-0.050000000000000044,blues/soul,3,0.5291450323742238
-0.17500000000000004,0.02499999999999991,blues/soul,3,0.7127394859661683
0.2749999999999999,0.02499999999999991,blues/soul,2,0.7503809117437517
0.42500000000000004,-0.375,blues/soul,4,0.9835654671485857
-0.275,-0.02499999999999991,blues/soul,3,0.7872673502705818
0.02499999999999991,-0.725,blues/soul,1,0.7733607354368759
0.07499999999999996,-0.25,blues/soul,4,0.6559436734177004
-0.1499999999999999,-0.1499999999999999,blues/soul,3,0.5039444845335385
-0.125,-0.050000000000000044,blues/soul,3,0.5831493784807557
-0.275,0.07499999999999996,blues/soul,3,0.8722553093780583
-0.35,-0.050000000000000044,blues/soul,3,0.7598103956616383
-0.35,-0.44999999999999996,blues/soul,1,0.8655971885980628
-0.10000000000000009,0.02499999999999991,blues/soul,3,0.5213190946004191
-0.17500000000000004,0.02499999999999991,blues/soul,3,0.7127394859661683
-0.475,-0.42500000000000004,blues/soul,1,0.8984686629305808
0.19999999999999996,0.10000000000000009,blues/soul,2,0.8428991429621062
0.3500000000000001,0.19999999999999996,blues/soul,0,0.6351968644884735
-0.42500000000000004,-0.4,blues/soul,1,0.85719601822989
0.07499999999999996,-0.2250000000000001,blues/soul,4,0.62360480295911
-0.17500000000000004,0.3500000000000001,blues/soul,3,0.6788558008722171
0.30000000000000004,-0.275,blues/soul,4,0.8888674821727216
-0.35,-0.02499999999999991,blues/soul,3,0.8016083785112006
0.3500000000000001,0.19999999999999996,blues/soul,0,0.6351968644884735
0.55,0.44999999999999996,blues/soul,0,0.9932106388842755
-0.30000000000000004,-0.02499999999999991,blues/soul,3,0.7960624196886423
-0.44999999999999996,-0.275,blues/soul,1,0.6852669826002643
-0.1499999999999999,-0.35,blues/soul,1,0.5346289403613402
0.2250000000000001,-0.32499999999999996,blues/soul,4,0.8750664982865246
0.42500000000000004,0.1499999999999999,blues/soul,0,0.7473102314445021
0.19999999999999996,0.1499999999999999,blues/soul,2,0.8223990774382244
-0.5,-0.17500000000000004,blues/soul,1,0.47339970623153454
-0.17500000000000004,-0.44999999999999996,blues/soul,1,0.738508734156211
-0.19999999999999996,-0.525,blues/soul,1,0.8410289855739642
-0.4,-0.275,blues/soul,1,0.6393347015248038
0.125,0.125,blues/soul,2,0.8785980817787589
0.25,0.02499999999999991,blues/soul,2,0.7833685266023875
0.2749999999999999,-0.275,blues/soul,4,0.8718815638919071
-0.525,-0.375,blues/soul,1,0.8778371485954072
0.2749999999999999,0.19999999999999996,blues/soul,2,0.5887700396807702
0.2250000000000001,0.1499999999999999,blues/soul,2,0.7817577266300775
0.5249999999999999,0.30000000000000004,blues/soul,0,0.9708385329480135
0.10000000000000009,0.1499999999999999,blues/soul,2,0.8801452632703928
0.07499999999999996,-0.6,blues/soul,1,0.5537536307056686
0.42500000000000004,0.125,blues/soul,0,0.704699656417177
-0.125,-0.050000000000000044,blues/soul,3,0.5831493784807557
-0.17500000000000004,-0.19999999999999996,blues/soul,3,0.4251061518167972
-0.125,0.125,blues/soul,3,0.5510834915763382
0.19999999999999996,-0.07499999999999996,blues/soul,2,0.6479251058707801
0.55,0.25,blues/soul,0,0.9670181646632282
