video_id,Stablization,gt_mean_valence,gt_mean_arousal,mean_scene_valence,mean_scene_arousal,coverage_scene,mae_scene_valence,mae_scene_arousal,var_scene_valence,var_scene_arousal,mean_face_valence,mean_face_arousal,coverage_face,mae_face_valence,mae_face_arousal,var_face_valence,var_face_arousal,mean_fusion_valence,mean_fusion_arousal,coverage_fusion,mae_fusion_valence,mae_fusion_arousal,var_fusion_valence,var_fusion_arousal,face_valence_std_dev,face_arousal_std_dev,scene_valence_std_dev,scene_arousal_std_dev,face_beats_fusion_valence,scene_beats_fusion_valence,face_beats_fusion_arousal,scene_beats_fusion_arousal,delta_mae_scene_valence,delta_mae_scene_arousal,delta_mae_face_valence,delta_mae_face_arousal,delta_mae_fusion_valence,delta_mae_fusion_arousal,export_timestamp
0,False,-0.06333350634835387,-0.25830676448010476,-0.05653353836842614,-0.027988174922186238,,0.006799967979927733,0.2303185895579185,0.0011086565722287043,0.00021701712114875887,-0.10045654652820933,-0.057182682313259355,0.8793103448275862,0.03712304017985546,0.2011240821668454,0.0004895460837009934,0.0005182447678418638,-0.08562343230386475,-0.06843809269208682,,0.02228992595551088,0.18986867178801792,0.00038199567351481954,0.0001009936517715041,0.0221256883215188,0.022764989959186535,0.03329649489403808,0.01473150098084913,False,True,False,False,0.0105168082568688,0.013075866259771002,-0.0005424663817203274,0.003107796168621335,0.015007866480278104,0.01629102233771129,20251006_144126
0,True,-0.06333350634835387,-0.25830676448010476,-0.0806502825851504,-0.014912308662415257,,0.017316776236796533,0.2433944558176895,0.0013235277271340968,0.00025450733860652667,-0.099914080146489,-0.05407488614463801,0.8793103448275862,0.03658057379813513,0.20423187833546674,0.0004841074603184026,0.0005448526882938174,-0.10063129878414286,-0.052147070354375546,,0.037297792435788985,0.2061596941257292,0.00041521227243128563,0.000128000816529644,0.022002442144416663,0.023342079776528427,0.03638032060240944,0.015953286138176256,True,True,True,False,0.0105168082568688,0.013075866259771002,-0.0005424663817203274,0.003107796168621335,0.015007866480278104,0.01629102233771129,20251006_144126
1,False,-0.0035505529816907055,0.137104437184062,0.06930394149743593,-0.0317351465471662,,0.07285449447912663,0.1688395837312282,0.0010138421484473103,0.00019677693330955037,-0.223129325280957,0.2748485073566628,0.8,0.21957877229926628,0.13774407017260076,0.0004637129638266665,0.00034638976561423163,-0.12303645898057895,0.061729045724060586,,0.11948590599888825,0.07537539146000143,0.0003473641836953779,0.00011529306040143981,0.021533995537908576,0.018611549253467096,0.03184088799715407,0.014027720175051625,False,True,False,False,0.007717153119469564,-0.016355021627476568,0.00014343886048154286,0.0019252172730958583,-0.02517614666206827,-0.009981324243863623,20251006_144126
1,True,-0.0035505529816907055,0.137104437184062,0.0770210946169055,-0.015380124919689618,,0.0805716475985962,0.15248456210375164,0.0009193958419088562,0.00019755840611323088,-0.22327276414143854,0.27677372462975863,0.8,0.21972221115974783,0.13966928744569662,0.00045180280956200213,0.00035042063926439397,-0.09786031231851068,0.07171036996792421,,0.09430975933681998,0.0653940672161378,0.00041605606424864833,0.00012150668584921348,0.021255653590562727,0.018719525615367338,0.030321540889421437,0.01405554716520246,False,True,False,False,0.007717153119469564,-0.016355021627476568,0.00014343886048154286,0.0019252172730958583,-0.02517614666206827,-0.009981324243863623,20251006_144126
10,False,-0.3849632200169796,0.1464551488213724,-0.06542108370922506,-0.017318003468544167,,0.3195421363077545,0.16377315228991657,0.0009822325325699098,0.00025103702601948194,-0.16616220272576007,0.3006957044108556,0.9558823529411765,0.2188010172912195,0.15424055558948319,0.00021971500767807556,0.0002449344050744881,-0.16600608268387762,0.1553717652768244,,0.21895713733310196,0.008916616455451998,0.00016041088561155793,6.190316536615059e-05,0.01482278677165922,0.01565038034919561,0.031340589218614094,0.015844148005477666,True,False,False,False,0.021703560976996383,-0.003523004819084352,-0.0012522262843469023,0.0004638607398821937,0.015136584406085285,0.02032234647360151,20251006_144126
10,True,-0.3849632200169796,0.1464551488213724,-0.043717522732228696,-0.013794998649459825,,0.3412456972847509,0.16025014747083222,0.001002049082489346,0.00020771920681062698,-0.16741442901010697,0.3011595651507378,0.9558823529411765,0.2175487910068726,0.15470441632936538,0.00020527655193233968,0.00024129282449184545,-0.15086949827779234,0.1756941117504259,,0.23409372173918724,0.029238962929053508,0.00010872077608161682,5.0856612833229295e-05,0.014327475420755036,0.015533603075006308,0.03165515886059247,0.014412467061909524,True,False,False,False,0.021703560976996383,-0.003523004819084352,-0.0012522262843469023,0.0004638607398821937,0.015136584406085285,0.02032234647360151,20251006_144126
100,False,-0.38546477951728353,0.30519542177027076,-0.03909177086488516,-0.031229840190563764,,0.3463730086523984,0.3364252619608345,0.0008142957421562146,0.0001993620097903063,-0.16604533690936218,0.38208079995518485,1.0,0.21941944260792134,0.07688537818491409,0.0020604429455686117,0.0008183025093635629,-0.13498450498635514,0.14022566917658028,,0.25048027453092836,0.16496975259369048,0.0002976030837416216,0.00010085890209427602,0.04539210223781899,0.02860598729922746,0.02853586764330488,0.014119561246381076,True,False,True,False,-0.012821843532879906,-0.00496040875010223,0.0002825760598765825,0.0005827846367739142,-0.014521300235337598,0.009615194639277208,20251006_144126
100,True,-0.38546477951728353,0.30519542177027076,-0.05191361439776503,-0.026269431440461496,,0.3335511651195185,0.33146485321073227,0.0010004944854166992,0.00022276547973830836,-0.1657627608494856,0.38266358459195876,1.0,0.21970201866779793,0.077468162821688,0.002033243550428454,0.0008104329289367546,-0.14950580522169277,0.13061047453730307,,0.23595897429559076,0.1745849472329677,0.00031086477952784413,0.00010118635807191834,0.04509150197574321,0.028468103711641116,0.03163059413632155,0.01492533013833558,True,False,True,False,-0.012821843532879906,-0.00496040875010223,0.0002825760598765825,0.0005827846367739142,-0.014521300235337598,0.009615194639277208,20251006_144126
101,False,0.10103178925022281,0.15635563612767683,-0.03854595382559906,-0.03997267524849762,,0.13957774307582188,0.19632831137617446,0.0009753382740255528,0.00018638886755364847,-0.16948878801669237,0.38118271668683046,1.0,0.2705205772669152,0.22482708055915362,0.002037940722039722,0.000820413086538292,-0.13773873253376256,0.127848897240658,,0.2387705217839854,0.028506738887018823,0.0003234596336520752,8.5621294768677e-05,0.04514355681644638,0.02864285402222153,0.031230406241763056,0.013652430829476796,False,True,False,False,-0.0202456383569235,0.005880965747767031,-0.006418445772623627,0.0012548595142298224,-0.00466999651045108,0.024669239559832218,20251006_144126
101,True,0.10103178925022281,0.15635563612767683,-0.01830031546867556,-0.04585364099626464,,0.11933210471889838,0.2022092771239415,0.0010196724396997208,0.00014020522915270253,-0.16307034224406874,0.3824375762010603,1.0,0.26410213149429157,0.22608194007338345,0.0020800564619009097,0.0008279264407539688,-0.13306873602331148,0.10317965768082579,,0.2341005252735343,0.05317597844685104,0.0003532149813847661,8.120817420639924e-05,0.04560763600430206,0.028773710931229723,0.031932310278144936,0.011840828904798114,False,True,False,False,-0.0202456383569235,0.005880965747767031,-0.006418445772623627,0.0012548595142298224,-0.00466999651045108,0.024669239559832218,20251006_144126
