video_id,Stablization,gt_mean_valence,gt_mean_arousal,mean_scene_valence,mean_scene_arousal,coverage_scene,mae_scene_valence,mae_scene_arousal,var_scene_valence,var_scene_arousal,mean_face_valence,mean_face_arousal,coverage_face,mae_face_valence,mae_face_arousal,var_face_valence,var_face_arousal,mean_fusion_valence,mean_fusion_arousal,coverage_fusion,mae_fusion_valence,mae_fusion_arousal,var_fusion_valence,var_fusion_arousal,face_beats_fusion_valence,scene_beats_fusion_valence,face_beats_fusion_arousal,scene_beats_fusion_arousal,delta_mae_scene_valence,delta_mae_scene_arousal,delta_mae_face_valence,delta_mae_face_arousal,delta_mae_fusion_valence,delta_mae_fusion_arousal,export_timestamp
0,False,-0.06333350634835387,-0.25830676448010476,-0.44940505395161695,0.47315070431294115,,0.38607154760326307,0.731457468793046,,,-0.09872787652511167,-0.05566775239376333,0.8793103448275862,0.0353943701767578,0.20263901208634144,,,-0.23849979253261666,0.12004783761315586,,0.17516628618426278,0.3783546020932606,,,True,False,True,False,-0.006500822395600125,0.04490712220812654,0.000676985558480378,-0.0019035807335313903,-0.011846039386992524,-0.010865233552778963,20251005_042301
0,True,-0.06333350634835387,-0.25830676448010476,-0.4429042315560168,0.5180578265210678,,0.37957072520766294,0.7763645910011725,,,-0.09940486208359205,-0.0575713331272947,0.8793103448275862,0.036071355735238175,0.20073543135281005,,,-0.2266537531456241,0.10918260406037689,,0.16332024679727025,0.36748936854048164,,,True,False,True,False,-0.006500822395600125,0.04490712220812654,0.000676985558480378,-0.0019035807335313903,-0.011846039386992524,-0.010865233552778963,20251005_042301
1,False,-0.0035505529816907055,0.137104437184062,-0.362653442300283,0.41489311273281393,,0.3591028893185923,0.2777886755487519,,,-0.2235074186216643,0.27549535838218453,0.8,0.21995686563997358,0.13839092119812252,,,-0.26911800356712046,0.33165879920223623,,0.26556745058542974,0.19455436201817422,,,True,False,True,False,0.003511742928710093,0.05146302460477903,-0.0010822431127263388,-0.0006062028475870007,0.02071500457825004,0.02469423725190656,20251005_042301
1,True,-0.0035505529816907055,0.137104437184062,-0.3661651852289931,0.46635613733759296,,0.3626146322473024,0.32925170015353095,,,-0.22242517550893795,0.27488915553459753,0.8,0.21887462252724724,0.13778471835053552,,,-0.2898330081453705,0.3563530364541428,,0.2862824551636798,0.21924859927008078,,,True,False,True,False,0.003511742928710093,0.05146302460477903,-0.0010822431127263388,-0.0006062028475870007,0.02071500457825004,0.02469423725190656,20251005_042301
10,False,-0.3849632200169796,0.1464551488213724,-0.3132332124531625,0.4376955777680611,,0.07173000756381709,0.2912404289466887,,,-0.16679187786872857,0.2976993001997471,0.9558823529411765,0.218171342148251,0.1512441513783747,,,-0.19860335108111318,0.3456943403605654,,0.1863598689358664,0.199239191539193,,,False,True,True,False,0.03630042163251129,0.03713263889007706,0.0009088894907528233,0.0015890190521111736,0.01785370014091195,0.022220943262692583,20251005_042301
10,True,-0.3849632200169796,0.1464551488213724,-0.2769327908206512,0.4748282166581382,,0.10803042919632838,0.3283730678367658,,,-0.16588298837797574,0.2992883192518583,0.9558823529411765,0.21908023163900384,0.1528331704304859,,,-0.18074965094020123,0.367915283623258,,0.20421356907677835,0.2214601348018856,,,False,True,True,False,0.03630042163251129,0.03713263889007706,0.0009088894907528233,0.0015890190521111736,0.01785370014091195,0.022220943262692583,20251005_042301
100,False,-0.38546477951728353,0.30519542177027076,-0.2944299312894819,0.5208215109865975,,0.09103484822780161,0.2156260892163267,,,-0.16593556314085922,0.38201578342625986,1.0,0.2195292163764243,0.0768203616559891,,,-0.24847480557843213,0.4522288619542249,,0.1369899739388514,0.14703344018395414,,,False,True,True,False,-0.03139040913191382,-0.018651784984049957,-0.0007888216102771572,0.00037643177934959526,-0.013770434034221096,-0.04258463982108601,20251005_042301
100,True,-0.38546477951728353,0.30519542177027076,-0.32582034042139574,0.5021697260025475,,0.05964443909588779,0.19697430423227674,,,-0.16672438475113638,0.38239221520560945,1.0,0.21874039476614715,0.0771967934353387,,,-0.2622452396126532,0.4096442221331389,,0.1232195399046303,0.10444880036286813,,,False,True,True,False,-0.03139040913191382,-0.018651784984049957,-0.0007888216102771572,0.00037643177934959526,-0.013770434034221096,-0.04258463982108601,20251005_042301
101,False,0.10103178925022281,0.15635563612767683,-0.31794713044332135,0.44625992976405005,,0.41897891969354417,0.2899042936363732,,,-0.16753981701273726,0.38100249816974,1.0,0.26857160626296006,0.2246468620420632,,,-0.2650394277021978,0.408427760847151,,0.3660712169524206,0.25207212471947416,,,True,False,True,False,0.0005420573461041855,0.07037970023574647,-0.0009601633587599245,0.0013325241799639342,9.099121117311926e-05,0.022608730504629415,20251005_042301
101,True,0.10103178925022281,0.15635563612767683,-0.31848918778942553,0.5166396299997965,,0.41952097703964836,0.3602839938721197,,,-0.1665796536539773,0.38233502234970396,1.0,0.26761144290420014,0.22597938622202712,,,-0.2651304189133709,0.4310364913517804,,0.36616220816359374,0.27468085522410357,,,True,False,True,False,0.0005420573461041855,0.07037970023574647,-0.0009601633587599245,0.0013325241799639342,9.099121117311926e-05,0.022608730504629415,20251005_042301
